Bank,Year,Topic,N_Sentences,Substantive Rate,Washing Rate,Mean ES,EWRI Approx
vietcombank,2021,G,140,0.257,0.729,0.423,0.66
vietcombank,2021,S_community,17,0.588,0.412,0.4,0.506
vietcombank,2021,S_labor,24,0.167,0.75,0.392,0.721
vietcombank,2021,S_product,43,0.395,0.558,0.419,0.593
vietcombank,2022,E,113,0.549,0.425,0.46,0.496
vietcombank,2022,G,454,0.262,0.738,0.49,0.624
vietcombank,2022,S_community,85,0.447,0.553,0.474,0.539
vietcombank,2022,S_labor,181,0.448,0.552,0.476,0.538
vietcombank,2022,S_product,179,0.391,0.609,0.48,0.565
vietcombank,2023,E,105,0.571,0.39,0.444,0.492
vietcombank,2023,G,365,0.364,0.627,0.467,0.584
vietcombank,2023,S_community,63,0.587,0.413,0.443,0.485
vietcombank,2023,S_labor,174,0.408,0.586,0.467,0.562
vietcombank,2023,S_product,94,0.404,0.574,0.46,0.568
vietcombank,2024,E,17,0.706,0.235,0.448,0.423
vietcombank,2024,G,183,0.126,0.825,0.48,0.697
vietcombank,2024,S_community,23,0.261,0.696,0.385,0.677
vietcombank,2024,S_labor,35,0.2,0.8,0.405,0.697
vietcombank,2024,S_product,62,0.419,0.5,0.445,0.568
viettinbank,2020,E,56,0.554,0.393,0.428,0.509
viettinbank,2020,G,464,0.336,0.638,0.47,0.597
viettinbank,2020,S_community,75,0.44,0.56,0.446,0.557
viettinbank,2020,S_labor,118,0.356,0.636,0.447,0.599
viettinbank,2020,S_product,142,0.338,0.662,0.444,0.609
viettinbank,2021,E,57,0.474,0.509,0.435,0.546
viettinbank,2021,G,462,0.361,0.615,0.471,0.584
viettinbank,2021,S_community,87,0.437,0.54,0.426,0.569
viettinbank,2021,S_labor,100,0.45,0.55,0.445,0.553
viettinbank,2021,S_product,152,0.52,0.467,0.44,0.52
viettinbank,2022,E,69,0.464,0.406,0.432,0.552
viettinbank,2022,G,361,0.36,0.601,0.465,0.587
viettinbank,2022,S_community,83,0.482,0.506,0.447,0.536
viettinbank,2022,S_labor,109,0.422,0.56,0.451,0.563
viettinbank,2022,S_product,102,0.5,0.48,0.435,0.532
viettinbank,2023,E,197,0.396,0.538,0.493,0.555
viettinbank,2023,G,1166,0.262,0.715,0.491,0.624
viettinbank,2023,S_community,137,0.328,0.672,0.472,0.6
viettinbank,2023,S_labor,248,0.282,0.702,0.457,0.63
viettinbank,2023,S_product,281,0.459,0.505,0.447,0.547
viettinbank,2024,E,239,0.427,0.527,0.463,0.555
viettinbank,2024,G,1253,0.296,0.662,0.491,0.606
viettinbank,2024,S_community,115,0.391,0.565,0.465,0.572
viettinbank,2024,S_labor,213,0.371,0.587,0.442,0.594
viettinbank,2024,S_product,332,0.503,0.428,0.454,0.522
vpbank,2020,E,65,0.477,0.523,0.437,0.543
vpbank,2020,G,381,0.375,0.591,0.449,0.588
vpbank,2020,S_community,70,0.443,0.514,0.403,0.577
vpbank,2020,S_labor,95,0.411,0.589,0.424,0.583
vpbank,2020,S_product,166,0.536,0.422,0.436,0.514
vpbank,2021,E,70,0.343,0.557,0.431,0.613
vpbank,2021,G,417,0.319,0.655,0.442,0.62
vpbank,2021,S_community,54,0.426,0.537,0.417,0.579
vpbank,2021,S_labor,111,0.405,0.595,0.427,0.584
vpbank,2021,S_product,294,0.48,0.476,0.433,0.543
vpbank,2022,E,96,0.365,0.552,0.481,0.577
vpbank,2022,G,561,0.239,0.742,0.47,0.645
vpbank,2022,S_community,44,0.5,0.5,0.465,0.518
vpbank,2022,S_labor,255,0.243,0.71,0.457,0.65
vpbank,2022,S_product,272,0.423,0.54,0.456,0.561
vpbank,2023,E,198,0.359,0.571,0.458,0.592
vpbank,2023,G,940,0.223,0.754,0.475,0.651
vpbank,2023,S_community,45,0.356,0.622,0.465,0.59
vpbank,2023,S_labor,238,0.349,0.647,0.435,0.608
vpbank,2023,S_product,280,0.507,0.446,0.423,0.535
vpbank,2024,E,150,0.493,0.307,0.473,0.517
vpbank,2024,G,944,0.233,0.708,0.475,0.646
vpbank,2024,S_community,66,0.545,0.409,0.479,0.488
vpbank,2024,S_labor,183,0.377,0.563,0.432,0.595
vpbank,2024,S_product,302,0.457,0.421,0.439,0.552
